編號,案件類型,發生日期,發生時段,發生地點,定位地點,lat,lon
950,住宅竊盜,1050629,10~12,台北市中正區富水里汀州路三段60巷2弄1~30號,台北市中正區富水里汀州路三段60巷2弄1號,25.015206,121.530709
951,住宅竊盜,1050629,13~15,台北市萬華區西園路二段241~270號,台北市萬華區西園路二段241號,25.0264692,121.4934782
952,住宅竊盜,1050629,16~18,台北市士林區天母里15鄰天玉街81巷1~30號,台北市士林區天母里15鄰天玉街81巷1號,25.1227941,121.530999
953,住宅竊盜,1050630,16~18,台北市南港區舊莊里合順街8巷5弄1~30號,台北市南港區舊莊里合順街8巷5弄1號,25.0418951,121.6186633
954,住宅竊盜,1050630,22~24,台北市中山區吉林路433項31~60號,台北市中山區吉林路433項31 號,25.067065,121.5322013
955,住宅竊盜,1050701,01~03,台北市信義區大道里忠孝東路五段790巷62弄1~30號,台北市信義區大道里忠孝東路五段790巷62弄1號,25.0410807,121.5832758
956,住宅竊盜,1050701,04~06,台北市萬華區寶興街188巷1~30號,台北市萬華區寶興街188巷1號,25.0229819,121.4955327
957,住宅竊盜,1050701,10~12,台北市萬華區大理街31~60號,台北市萬華區大理街31 號,25.0346823,121.5020786
958,住宅竊盜,1050701,13~15,台北市士林區菁山里9鄰菁山路99巷1~30號,台北市士林區菁山里9鄰菁山路99巷1號,25.148985,121.556961
959,住宅竊盜,1050702,07~09,台北市內湖區東湖路113巷1~30號,台北市內湖區東湖路113巷1號,25.0690878,121.6152815
960,住宅竊盜,1050702,13~15,台北市大同區隆和里伊寧街61~90號,台北市大同區隆和里伊寧街61 號,25.064691,121.510791
961,住宅竊盜,1050703,04~06,台北市大同區雙連里錦西街52巷1~30號,台北市大同區雙連里錦西街52巷1號,25.060083,121.519999
962,住宅竊盜,1050704,10~12,台北市北投區大興街24巷5弄1~30號,台北市北投區大興街24巷5弄1 號,25.1291782,121.4988901
963,住宅竊盜,1050704,10~12,台北市萬華區長順街,台北市萬華區長順街,25.0313487,121.4907441
964,住宅竊盜,1050704,10~12,台北市萬華區長順街91~120號,台北市萬華區長順街91 號,25.0317376,121.4902484
